# PPM1D History File
# gamma = 1.4000000000000001
# nx = 200
# cfl = 0.9
# problem = acoustic
#
# 16 columns:
#   1  model_number          Model/dump number
#   2  step                  Timestep count
#   3  time                  Simulation time
#   4  dt                    Current timestep
#   5  total_mass            Total mass in domain
#   6  total_energy          Total energy in domain
#   7  total_kinetic         Total kinetic energy
#   8  total_internal        Total internal energy
#   9  total_momentum        Total momentum
#  10  max_density           Maximum density
#  11  min_density           Minimum density
#  12  max_velocity          Maximum |velocity|
#  13  max_pressure          Maximum pressure
#  14  min_pressure          Minimum pressure
#  15  max_mach              Maximum Mach number
#  16  max_sound_speed       Maximum sound speed
#
          model_number                    step                    time                      dt              total_mass            total_energy           total_kinetic          total_internal          total_momentum             max_density             min_density            max_velocity            max_pressure            min_pressure                max_mach         max_sound_speed
          16            40   1.513082455635141e-01   3.780646426780490e-03   1.001253314137315e+00   2.504386599480607e+00   3.090084436233990e-06   2.504383509396171e+00  -2.775557561562891e-19   1.004977973631139e+00   1.000000000011949e+00   5.878322440890254e-03   1.006976092509061e+00   1.000000000016730e+00   4.963157742961799e-03   1.184391620279698e+00
          17            42   1.588695450948508e-01   3.780644539987077e-03   1.001253314137315e+00   2.504386599480607e+00   3.090157108833670e-06   2.504383509323498e+00   2.775557561562891e-19   1.004982132920841e+00   1.000000000036937e+00   5.883224484843627e-03   1.006981927384992e+00   1.000000000051713e+00   4.967292501494865e-03   1.184392600812841e+00
          18            45   1.702114382076156e-01   3.780626510606832e-03   1.001253314137315e+00   2.504386599480607e+00   3.090258689897995e-06   2.504383509221917e+00  -1.387778780781446e-19   1.004984659948958e+00   1.000000000189122e+00   5.886202682596976e-03   1.006985472351392e+00   1.000000000264773e+00   4.969804537904314e-03   1.184393196493617e+00
          19            47   1.777726887942245e-01   3.780625631565174e-03   1.001253314137315e+00   2.504386599480607e+00   3.090325295079131e-06   2.504383509155312e+00   0.000000000000000e+00   1.004983861349955e+00   1.000000000539899e+00   5.885261506344585e-03   1.006984352095126e+00   1.000000000755861e+00   4.969010679118427e-03   1.184393008265523e+00
          20            50   1.891145920976996e-01   3.780641072274469e-03   1.001253314137315e+00   2.504386599480608e+00   3.090424960415436e-06   2.504383509055647e+00  -1.387778780781446e-19   1.004979116018858e+00   1.000000002453278e+00   5.879669096095587e-03   1.006977695418626e+00   1.000000003434591e+00   4.964293615030205e-03   1.184391889773388e+00
          21            52   1.966758813402033e-01   3.780639384521666e-03   1.001253314137315e+00   2.504386599480608e+00   3.090491386715524e-06   2.504383508989221e+00   0.000000000000000e+00   1.004983285127006e+00   1.000000006467757e+00   5.884582460582636e-03   1.006983543777561e+00   1.000000009054860e+00   4.968437920790188e-03   1.184392872447673e+00
          22            55   2.080177588711852e-01   3.780621299625494e-03   1.001253314137315e+00   2.504386599480608e+00   3.090591040046737e-06   2.504383508889568e+00   0.000000000000000e+00   1.004985823016502e+00   1.000000026081427e+00   5.887573380135926e-03   1.006987103891835e+00   1.000000036513999e+00   4.970960686720989e-03   1.184393470635063e+00
          23            57   2.155789989987748e-01   3.780620396958539e-03   1.001253314137315e+00   2.504386599480608e+00   3.090657487812004e-06   2.504383508823121e+00  -1.387778780781446e-19   1.004985028151393e+00   1.000000063497823e+00   5.886636597522506e-03   1.006985988863946e+00   1.000000028896205e+00   4.970170534242300e-03   1.184393283281963e+00
          24            59   2.231402507451543e-01   3.780628445218861e-03   1.001253314137315e+00   2.504386599480608e+00   3.090723945400972e-06   2.504383508756663e+00  -1.387778780781446e-19   1.004982238861011e+00   1.000000149744624e+00   5.883349345087270e-03   1.006982076085556e+00   1.000000010060428e+00   4.967397817877611e-03   1.184392625835837e+00
          25            62   2.344821655979681e-01   3.780634267365949e-03   1.001253314137315e+00   2.504386599480609e+00   3.090823644814642e-06   2.504383508656964e+00  -1.387778780781446e-19   1.004984427262861e+00   1.000000510849725e+00   5.885928482323990e-03   1.006985145943147e+00   1.000000001295912e+00   4.969573256839854e-03   1.184393141649117e+00
          26            64   2.420434115566714e-01   3.780619958530814e-03   1.001253314137315e+00   2.504386599480609e+00   3.090890098357359e-06   2.504383508590511e+00   0.000000000000000e+00   1.004986620795308e+00   1.000001112457922e+00   5.888513578696508e-03   1.006988222999983e+00   9.999999999569137e-01   4.971753720217176e-03   1.184393658670463e+00
          27            67   2.533852575043308e-01   3.780615230622596e-03   1.001253314137315e+00   2.504386599480609e+00   3.090989536489155e-06   2.504383508491073e+00  -1.387778780781446e-19   1.004986178912598e+00   1.000002034168988e+00   5.887992782286154e-03   1.006987603130042e+00   9.999999997348640e-01   4.971314441754445e-03   1.184393554515976e+00
          28            69   2.609464989131307e-01   3.780623276716519e-03   1.001253314137315e+00   2.504386599480609e+00   3.091055001576023e-06   2.504383508425608e+00   0.000000000000000e+00   1.004983388527574e+00   1.000001465350981e+00   5.884704242684694e-03   1.006983688814295e+00   9.999999998996066e-01   4.968540640966571e-03   1.184392896812432e+00
          29            72   2.722883982064302e-01   3.780629064060531e-03   1.001253314137315e+00   2.504386599480609e+00   3.091146143872533e-06   2.504383508334466e+00  -2.775557561562891e-19   1.004985587887086e+00   1.000000887510314e+00   5.887296290759867e-03   1.006986774044533e+00   1.000000000098098e+00   4.970726968898292e-03   1.184393415207982e+00
          30            74   2.798496337298611e-01   3.780614736647043e-03   1.001253314137315e+00   2.504386599480610e+00   3.091188049621080e-06   2.504383508292560e+00  -1.387778780781446e-19   1.004987784774693e+00   1.000000619420579e+00   5.889885337392085e-03   1.006989855809354e+00   1.000000000151713e+00   4.972910763208304e-03   1.184393933019661e+00
          31            77   2.911914639823888e-01   3.780609996526617e-03   1.001253314137315e+00   2.504386599480610e+00   3.091124789862477e-06   2.504383508355820e+00   0.000000000000000e+00   1.004987343831204e+00   1.000000344355413e+00   5.889365588288855e-03   1.006989237256554e+00   1.000000000187546e+00   4.972472368275310e-03   1.184393829086589e+00
          32            79   2.987526949314981e-01   3.780618049479875e-03   1.001253314137315e+00   2.504386599480610e+00   3.090805803703825e-06   2.504383508674807e+00  -2.775557561562891e-19   1.004984550565939e+00   1.000000231976181e+00   5.886073115570541e-03   1.006985318898008e+00   1.000000000192342e+00   4.969695250834531e-03   1.184393170704407e+00
          33            82   3.100945785776279e-01   3.780623842085004e-03   1.001253314137315e+00   2.504386599480611e+00   3.088865046905373e-06   2.504383510615563e+00  -2.775557561562891e-19   1.004986758231380e+00   1.000000127059926e+00   5.888667278261569e-03   1.006988415772918e+00   1.000000000193351e+00   4.971883354958820e-03   1.184393691052380e+00
          34            84   3.176558036439779e-01   3.780609510297290e-03   1.001253314137315e+00   2.504386599480611e+00   3.084950146245736e-06   2.504383514530464e+00  -1.387778780781446e-19   1.004988981986206e+00   1.000000082718703e+00   5.891237745698119e-03   1.006991535178798e+00   1.000000000194201e+00   4.974051435118260e-03   1.184394215167188e+00
          35            87   3.289976187917140e-01   3.780605170845865e-03   1.001253314137315e+00   2.504386599480611e+00   3.068234222463710e-06   2.504383531246388e+00   0.000000000000000e+00   1.004988874837669e+00   1.000000042912068e+00   5.890333410111163e-03   1.006991384196662e+00   1.000000000199001e+00   4.973288000107462e-03   1.184394189514841e+00
          36            89   3.365588426405393e-01   3.780615168018524e-03   1.001253314137315e+00   2.504386599480611e+00   3.041428193496378e-06   2.504383558052418e+00   0.000000000000000e+00   1.004987467515426e+00   1.000000027674953e+00   5.885405114093922e-03   1.006989407513498e+00   1.000000000195118e+00   4.969128371138450e-03   1.184393856330491e+00
          37            91   3.441201038569858e-01   3.780635823932667e-03   1.001253314137315e+00   2.504386599480611e+00   2.990479166661270e-06   2.504383609001445e+00   0.000000000000000e+00   1.004991192151548e+00   1.000000017867388e+00   5.881839092430013e-03   1.006994626446705e+00   1.000000000192137e+00   4.966113863708985e-03   1.184394730739643e+00
          38            94   3.554620412616791e-01   3.780662681131417e-03   1.001253314137315e+00   2.504386599480611e+00   2.835158560854662e-06   2.504383764322051e+00   0.000000000000000e+00   1.005026264154577e+00   1.000000009012604e+00   5.850116108848474e-03   1.007043781857801e+00   1.000000000191442e+00   4.939295366065426e-03   1.184402971533285e+00
          39            96   3.630235415753210e-01   3.780791784740346e-03   1.001253314137315e+00   2.504386599480612e+00   2.651869846700850e-06   2.504383947610765e+00  -6.938893903907229e-20   1.005105905959653e+00   1.000000006018406e+00   5.771048444150929e-03   1.007155404883725e+00   1.000000000193949e+00   4.872511022193334e-03   1.184421682741762e+00
          40            99   3.743667357202747e-01   3.781257352444476e-03   1.001253314137315e+00   2.504386599480612e+00   2.218173887514565e-06   2.504384381306724e+00  -1.387778780781446e-19   1.005554200390826e+00   1.000000003575512e+00   5.480104383764491e-03   1.007784265488557e+00   1.000000000191738e+00   4.626717737520906e-03   1.184527266971450e+00
          41           101   3.819299948832475e-01   3.781769982048462e-03   1.001253314137315e+00   2.504386599480612e+00   1.820436081031566e-06   2.504384779044531e+00  -1.387778780781446e-19   1.006481067067344e+00   1.000000002760976e+00   5.089785763654154e-03   1.009086842783650e+00   1.000000000188862e+00   4.297029858610758e-03   1.184746637370661e+00
          42           104   3.932776413009093e-01   3.783126915048439e-03   1.001253314137315e+00   2.504386599480612e+00   1.119850096967737e-06   2.504385479630515e+00  -2.081668171172168e-19   1.008071217267937e+00   1.000000002184013e+00   4.117506444167670e-03   1.011320138257690e+00   1.000000000188459e+00   3.475971451781852e-03   1.185121121015248e+00
          43           106   4.008465232627925e-01   3.784948362607681e-03   1.001253314137315e+00   2.504386599480612e+00   6.589427672955657e-07   2.504385940537845e+00  -1.387778780781446e-19   1.008949574359561e+00   1.000000002006347e+00   3.209225337325051e-03   1.012554327987406e+00   1.000000000191725e+00   2.709202191240316e-03   1.185327756483368e+00
          44           109   4.122094392772002e-01   3.789169328099080e-03   1.001253314137315e+00   2.504386599480613e+00   1.446840437396926e-07   2.504386454796569e+00  -1.214306433183765e-19   1.009800194015407e+00   1.000000001923263e+00   1.519786864451327e-03   1.013749888408795e+00   1.000000000200426e+00   1.282991393993607e-03   1.185527691451277e+00
          45           111   4.197931389561914e-01   3.792781386165219e-03   1.001253314137315e+00   2.504386599480613e+00   5.189193091996385e-09   2.504386594291420e+00  -1.214306433183765e-19   1.009984126299180e+00   1.000000001961957e+00   3.021637286335473e-04   1.014008439822628e+00   1.000000000277195e+00   2.551710594090806e-04   1.185570893722252e+00
          46           114   4.311745315541152e-01   3.792419410267713e-03   1.001253314137315e+00   2.504386599480613e+00   1.604540832052608e-07   2.504386439026530e+00  -1.214306433183765e-19   1.009660782363942e+00   1.000000002204364e+00   1.653419147513818e-03   1.013554027389403e+00   1.000000000531700e+00   1.395617831982756e-03   1.185494998032995e+00
          47           116   4.387540472178449e-01   3.788919698747109e-03   1.001253314137315e+00   2.504386599480613e+00   4.759451637111825e-07   2.504386123535450e+00  -1.734723475976807e-19   1.009089027591314e+00   1.000000002405945e+00   2.789787519966703e-03   1.012750705964190e+00   1.000000000653421e+00   2.355049816095530e-03   1.185360778777261e+00
          48           118   4.463274761095135e-01   3.786030116087527e-03   1.001253314137315e+00   2.504386599480613e+00   8.991737824251777e-07   2.504385700306831e+00  -1.387778780781446e-19   1.008297196024498e+00   1.000000002655140e+00   3.773903420091303e-03   1.011638528738096e+00   1.000000000706379e+00   3.185796602945492e-03   1.185174827618254e+00
          49           121   4.576793093809171e-01   3.783085128930417e-03   1.001253314137315e+00   2.504386599480614e+00   1.593630708967830e-06   2.504385005849905e+00  -1.387778780781446e-19   1.006847121476951e+00   1.000000003268581e+00   4.865351905923420e-03   1.009602786800886e+00   1.000000000729357e+00   4.107448643123553e-03   1.184834037057448e+00
          50           123   4.652438385731394e-01   3.782061081583964e-03   1.001253314137315e+00   2.504386599480614e+00   2.015613612565148e-06   2.504384583867001e+00  -1.387778780781446e-19   1.005837059654111e+00   1.000000004031293e+00   5.335018794303151e-03   1.008182888838821e+00   1.000000000732138e+00   4.504151122072982e-03   1.184595149691447e+00
          51           126   4.765882644637544e-01   3.781210894685542e-03   1.001253314137315e+00   2.504386599480615e+00   2.507913474179184e-06   2.504384091567140e+00  -2.081668171172168e-19   1.005182827252109e+00   1.000000006006193e+00   5.713426348063489e-03   1.007261263670472e+00   1.000000000732849e+00   4.823834358248588e-03   1.184438604444098e+00
          52           128   4.841501671106796e-01   3.780873094755487e-03   1.001253314137315e+00   2.504386599480615e+00   2.732241484531948e-06   2.504383867239130e+00  -1.387778780781446e-19   1.005057344052513e+00   1.000000008491652e+00   5.827427250676924e-03   1.007085382083692e+00   1.000000000732974e+00   4.920122758158526e-03   1.184409121214686e+00
          53           131   4.954922877841758e-01   3.780663081914703e-03   1.001253314137315e+00   2.504386599480615e+00   2.937298954316167e-06   2.504383662181660e+00  -1.387778780781446e-19   1.005002616319471e+00   1.000000014403436e+00   5.877590355936065e-03   1.007009335554124e+00   1.000000000733140e+00   4.962518561823524e-03   1.184396649143472e+00
          54           133   5.030535441000378e-01   3.780614972323685e-03   1.001253314137315e+00   2.504386599480615e+00   3.010616752840290e-06   2.504383588863862e+00   0.000000000000000e+00   1.004996206002595e+00   1.000000021544321e+00   5.892023400691480e-03   1.007000835351214e+00   1.000000000733221e+00   4.974709681531867e-03   1.184395427649789e+00
          55           136   5.143953210822003e-01   3.780586857414240e-03   1.001253314137315e+00   2.504386599480615e+00   3.064642166600938e-06   2.504383534838448e+00   0.000000000000000e+00   1.004994019574506e+00   1.000000039812013e+00   5.896299086526544e-03   1.006998266582487e+00   1.000000000733323e+00   4.978320631330226e-03   1.184395205366881e+00
          56           138   5.219564966397551e-01   3.780589051506903e-03   1.001253314137315e+00   2.504386599480615e+00   3.079997965083408e-06   2.504383519482650e+00   0.000000000000000e+00   1.004991751453930e+00   1.000000060644546e+00   5.894317643362797e-03   1.006995259208455e+00   1.000000000733412e+00   4.976649489104437e-03   1.184394773284204e+00
          57           141   5.332983014430887e-01   3.780608920142583e-03   1.001253314137315e+00   2.504386599480616e+00   3.089256355870976e-06   2.504383510224260e+00   0.000000000000000e+00   1.004990618282917e+00   1.000000114836878e+00   5.893157210401995e-03   1.006993759549951e+00   1.000000000733565e+00   4.975670620222999e-03   1.184394559087168e+00
          58           143   5.408594903912958e-01   3.780590410235614e-03   1.001253314137315e+00   2.504386599480616e+00   3.091385839567061e-06   2.504383508094776e+00   0.000000000000000e+00   1.004993688960825e+00   1.000000172022054e+00   5.896818619963219e-03   1.006998108722259e+00   1.000000000733710e+00   4.978758851356466e-03   1.184395307347860e+00
          59           145   5.484206558273482e-01   3.780580904048591e-03   1.001253314137315e+00   2.504386599480616e+00   3.092272612742334e-06   2.504383507208003e+00  -2.775557561562891e-19   1.004994784992516e+00   1.000000255686922e+00   5.898125083895291e-03   1.006999663503312e+00   1.000000000733999e+00   4.979860786537197e-03   1.184395575844324e+00
          60           148   5.597623993293468e-01   3.780583559210335e-03   1.001253314137315e+00   2.504386599480616e+00   3.092743765913669e-06   2.504383506736851e+00   0.000000000000000e+00   1.004992675140659e+00   1.000000456534107e+00   5.895644701646573e-03   1.006996711707119e+00   1.000000000735708e+00   4.977768639316258e-03   1.184395083186589e+00
          61           150   5.673235849596132e-01   3.780596657701961e-03   1.001253314137315e+00   2.504386599480616e+00   3.092870912088000e-06   2.504383506609704e+00  -1.387778780781446e-19   1.004989436700835e+00   1.000000660921045e+00   5.891828756659025e-03   1.006992169651810e+00   1.000000000740136e+00   4.974549991872590e-03   1.184394320347586e+00
          62           153   5.786653668170940e-01   3.780585131454633e-03   1.001253314137315e+00   2.504386599480617e+00   3.092993508804232e-06   2.504383506487108e+00  -1.387778780781446e-19   1.004994829896602e+00   1.000001121236726e+00   5.898185205307698e-03   1.006999735987298e+00   1.000000000768792e+00   4.979911479823856e-03   1.184395592010869e+00
          63           155   5.862265217902188e-01   3.780575685779078e-03   1.001253314137315e+00   2.504386599480617e+00   3.093063206132683e-06   2.504383506417411e+00  -1.387778780781446e-19   1.004995932584822e+00   1.000001573613545e+00   5.899484757440988e-03   1.007001282927793e+00   1.000000000838852e+00   4.981007614651416e-03   1.184395851973386e+00
          64           158   5.975682497702145e-01   3.780578406921394e-03   1.001253314137315e+00   2.504386599480617e+00   3.093164376714670e-06   2.504383506316241e+00   0.000000000000000e+00   1.004993815501348e+00   9.999981192134286e-01   5.896989726966160e-03   1.006998313125787e+00   1.000000001250334e+00   4.978903127306964e-03   1.184395352989280e+00
          65           160   6.051294251679901e-01   3.780591554203970e-03   1.001253314137315e+00   2.504386599480617e+00   3.093231367277042e-06   2.504383506249250e+00  -1.387778780781446e-19   1.004990649203853e+00   9.999970583109230e-01   5.893258280631118e-03   1.006993871474901e+00   1.000000002171855e+00   4.975755755178800e-03   1.184394606688115e+00
          66           163   6.164711906222917e-01   3.780579647096170e-03   1.001253314137315e+00   2.504386599480617e+00   3.093331789006753e-06   2.504383506148829e+00   0.000000000000000e+00   1.004996053373968e+00   9.999964052683115e-01   5.899627117736376e-03   1.007001452396277e+00   1.000000007040244e+00   4.981127691401586e-03   1.184395880459018e+00
          67           165   6.240323345963573e-01   3.780570182636834e-03   1.001253314137315e+00   2.504386599480618e+00   3.093398747361935e-06   2.504383506081870e+00  -1.387778780781446e-19   1.004997158312190e+00   9.999962455369856e-01   5.900929274005312e-03   1.007003002394352e+00   1.000000016988454e+00   4.982226022414760e-03   1.184396140893118e+00
          68           168   6.353740460721427e-01   3.780572911560297e-03   1.001253314137315e+00   2.504386599480618e+00   3.093499211308149e-06   2.504383505981407e+00  -1.387778780781446e-19   1.004995035952428e+00   9.999961575133177e-01   5.898428025001088e-03   1.007000025161122e+00   1.000000039687336e+00   4.980116291012081e-03   1.184395640649264e+00
          69           170   6.429352105252886e-01   3.780586091521351e-03   1.001253314137315e+00   2.504386599480618e+00   3.093566203860352e-06   2.504383505914415e+00  -2.775557561562891e-19   1.004991832323308e+00   9.999961388431280e-01   5.894652591038232e-03   1.006995531137915e+00   1.000000013548969e+00   4.976931818062942e-03   1.184394885548678e+00
          70           173   6.542769598944976e-01   3.780574238998580e-03   1.001253314137315e+00   2.504386599480619e+00   3.093666710768781e-06   2.504383505813908e+00  -1.387778780781446e-19   1.004997266718568e+00   9.999961301677519e-01   5.901057042488811e-03   1.007003154460806e+00   1.000000001403395e+00   4.982333791419250e-03   1.184396166441481e+00
          71           175   6.618380929308167e-01   3.780564694885334e-03   1.001253314137315e+00   2.504386599480619e+00   3.093733712747289e-06   2.504383505746906e+00  -2.775557561562891e-19   1.004998387421671e+00   9.999961288969565e-01   5.902377772212586e-03   1.007004726572449e+00   9.999999996242751e-01   4.983447788062647e-03   1.184396430589911e+00
          72           177   6.693992204258049e-01   3.780564187366148e-03   1.001253314137315e+00   2.504386599480619e+00   3.093800663491013e-06   2.504383505679955e+00   0.000000000000000e+00   1.004997489432435e+00   9.999961287228014e-01   5.901319450480235e-03   1.007003466867916e+00   9.999999993804568e-01   4.982555124861310e-03   1.184396218926830e+00
          73           180   6.807409410405321e-01   3.780580497467389e-03   1.001253314137315e+00   2.504386599480619e+00   3.093900478964294e-06   2.504383505580140e+00  -1.387778780781446e-19   1.004992968808536e+00   9.999961290354034e-01   5.895991865418831e-03   1.006997125331353e+00   9.999999998075193e-01   4.978061459100693e-03   1.184395153386468e+00
          74           182   6.883021059020334e-01   3.780577214562532e-03   1.001253314137315e+00   2.504386599480620e+00   3.093965131072067e-06   2.504383505515488e+00   0.000000000000000e+00   1.004997116920091e+00   9.999961292954684e-01   5.900880254375071e-03   1.007002944113170e+00   1.000000000067440e+00   4.982184676122835e-03   1.184396131009573e+00
          75           185   6.996437973344986e-01   3.780559357187017e-03   1.001253314137315e+00   2.504386599480620e+00   3.094047097596481e-06   2.504383505433522e+00  -2.775557561562891e-19   1.004999589216480e+00   9.999961296177984e-01   5.903792627841098e-03   1.007006411001273e+00   1.000000000251325e+00   4.984641178933905e-03   1.184396713005484e+00
          76           187   7.072049139989302e-01   3.780558747583747e-03   1.001253314137315e+00   2.504386599480620e+00   3.094063598860580e-06   2.504383505417021e+00  -1.387778780781446e-19   1.004998715366902e+00   9.999961297779253e-01   5.902759725048703e-03   1.007005181863986e+00   1.000000000300025e+00   4.983769961882416e-03   1.184396505094544e+00
          77           190   7.185466180622962e-01   3.780574949679059e-03   1.001253314137315e+00   2.504386599480620e+00   3.093847132370916e-06   2.504383505633488e+00  -2.775557561562891e-19   1.004994063697802e+00   9.999961299489049e-01   5.897268847738731e-03   1.006998646890747e+00   1.000000000329057e+00   4.979138582186719e-03   1.184395403019450e+00
          78           192   7.261077731849762e-01   3.780572324551053e-03   1.001253314137315e+00   2.504386599480620e+00   3.093196902028244e-06   2.504383506283718e+00  -1.387778780781446e-19   1.004998256471055e+00   9.999961300269348e-01   5.902185722939895e-03   1.007004502557981e+00   1.000000000338957e+00   4.983285868198544e-03   1.184396376014755e+00
          79           195   7.374494498041417e-01   3.780554414294977e-03   1.001253314137315e+00   2.504386599480620e+00   3.089686161354120e-06   2.504383509794459e+00  -2.775557561562891e-19   1.005000872173737e+00   9.999961301057471e-01   5.905126209256198e-03   1.007008049763478e+00   1.000000000345334e+00   4.985766262857390e-03   1.184396920739704e+00
          80           197   7.450105568085698e-01   3.780553983003985e-03   1.001253314137315e+00   2.504386599480620e+00   3.082999446355329e-06   2.504383516481174e+00   0.000000000000000e+00   1.005000262139149e+00   9.999961301401792e-01   5.904019277506600e-03   1.007006984571481e+00   1.000000000339240e+00   4.984832791128297e-03   1.184396653788311e+00
          81           200   7.563522499108609e-01   3.780572325007090e-03   1.001253314137315e+00   2.504386599480621e+00   3.055921805301121e-06   2.504383543558816e+00  -1.387778780781446e-19   1.004996872548182e+00   9.999961301737316e-01   5.897471246469564e-03   1.007001490964093e+00   1.000000000335791e+00   4.979308976057445e-03   1.184395520508372e+00
